author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Rens Bod,LRKlkaAAAAAJ,History of Humanities,History of Knowledge,History of Science,Digital Humanities,Computational Linguistics,,,,,23,39,52,38,85,101,103,135,203,131,205,253,240,228,217,235,233,235,315,271,242,376,323,273,250,285,315,233,68
Alexandra  I Cristea,jQMxCKYAAAAJ,Learning Analytics,User Modelling,Web Science,Artificial Intelligence in Education,Digital Humanities,,,,,,,,,,19,31,62,109,162,192,324,239,270,314,297,188,246,288,245,219,251,172,242,236,329,486,559,150
Kostas Karpouzis,12olpHgAAAAJ,Digital Humanities,Serious Games,Affective computing,Human-computer interaction,Machine Learning,,,,,,,,,,,,,24,28,59,83,120,145,228,266,320,329,386,367,401,367,340,371,384,341,384,436,102
Emanuele Frontoni,Vgi8nAcAAAAJ,artificial intelligence,computer vision,robotics,remote sensing,digital humanities,,,,,,,,,,,,,,,,14,23,23,32,59,55,80,101,166,148,190,289,349,600,713,1024,1244,334
Richard Furuta,vygtLDcAAAAJ,Digital Libraries,Digital Humanities,HCI,,,112,103,180,175,189,148,182,175,173,191,198,234,212,214,212,177,200,152,153,130,160,166,141,138,114,143,99,90,104,90,79,74,10
Mathieu Aubry,0MiPsosAAAAJ,computer vision,machine learning,digital humanities,,,,,,,,,,,,,,,,,,,,,,,,25,48,87,178,227,350,489,598,882,992,1166,296
Michele Coscia,3p_bhfUAAAAJ,Complex Networks,Digital Humanities,Human Mobility,Economic Development,Memetics,,,,,,,,,,,,,,,,,,,,,18,118,198,283,386,449,471,562,558,620,657,605,133
Todd Presner,SkuWmdYAAAAJ,Digital Humanities,German-Jewish culture,digital mapping,GIS,,,,,,,,,,,,,,,23,35,50,78,77,95,106,129,170,221,296,370,441,446,482,482,461,463,451,68
Thomas Hegghammer,8khoUBcAAAAJ,Political Violence,Middle East,Digital Humanities,,,,,,,,,,,,,,,,,,31,51,69,90,96,151,153,173,258,371,462,471,458,461,604,439,414,77
Tim Weyrich,pUB0nnwhGVAC,appearance modelling,point-based graphics,3D reconstruction,cultural heritage acquisition,digital humanities,,,,,,,,,,,,,,,25,67,70,110,132,176,222,238,276,282,380,398,378,459,391,415,376,407,75
Peter Lunenfeld,GNCyVj0AAAAJ,Media philosophy,new media,art and design criticism,digital humanities,urban humanities,,,,,,,,,,,30,70,73,87,102,146,169,187,173,193,197,209,257,299,330,365,354,401,319,276,246,241,37
David M. Berry,22sLFVoAAAAJ,Digital Humanities,Software Studies,Critical Theory,Media Theory,Critical University Studies,,,,,,,,,,,,,,,15,23,30,33,46,44,95,181,217,282,374,434,481,481,511,533,479,390,69
Jill Walker Rettberg,wtk_Bc7v6EAJ,machine vision,digital narrative,social media narrative,algorithmic culture,digital humanities,,,,,,,,,,,,,45,51,75,99,111,145,168,209,210,252,231,259,260,338,333,392,338,339,355,281,54
Jacco van Ossenbruggen,BqsB3xIAAAAJ,data science,cultural AI,civic AI,digital humanities,tool criticism,,,,,,,19,36,78,78,144,116,192,173,214,167,214,237,266,270,253,206,207,238,159,194,153,166,159,173,158,176,28
Timo Honkela,JxUN_ggAAAAJ,language technology,text mining,digital humanities,socio-cognitive modeling,language philosophy,,,,,,31,73,130,146,145,131,145,176,190,178,156,163,175,179,200,143,250,215,233,184,189,153,161,159,186,180,138,38
Matthew Kirschenbaum,YV-jMbMAAAAJ,Media studies,book history,contemporary literature,games,digital humanities,,,,,,,,,,,,,,,,19,14,36,43,47,119,201,252,249,385,449,431,424,460,382,335,362,46
Melissa Terras,nKl6E7EAAAAJ,Digital Humanities,,,,,,,,,,,,,,,,,,,,12,13,25,42,64,90,154,152,244,283,393,358,385,413,476,432,654,105
David Bamman,RkA1y54AAAAJ,Natural Language Processing,Machine Learning,Digital Humanities,Computational Social Science,,,,,,,,,,,,,,,,,,15,36,39,69,61,65,110,155,218,349,347,395,466,514,567,632,116
Jieh Hsiang,Rxg0ObMAAAAJ,Automated deduction,Digital Libraries,Digital Humanities,,,127,80,65,84,93,101,94,113,91,60,107,67,116,94,158,93,175,127,129,133,89,98,149,95,92,89,94,104,95,139,164,202,59
Alan Y. Liu,XvwdTTsAAAAJ,Digital Humanities,Romantic literary studies,,,,21,30,38,37,34,45,51,55,49,40,54,82,39,47,68,72,84,92,130,134,124,152,210,230,230,284,238,263,233,195,219,201,42
Vince Gaffney,TTyOLccAAAAJ,Archaeology,Landscape,Digital Humanities,,,20,8,12,10,12,24,26,34,45,66,52,53,78,86,85,115,111,106,91,116,116,155,230,216,233,272,272,250,208,227,189,241,64
José Antonio Cordón García,ll7MlugAAAAJ,Electronic Publishing,Digital Reading,Information Research,Digital Humanities,,,,,,,,,,,,,10,13,26,39,31,32,41,46,117,141,199,215,307,248,278,273,324,375,299,369,290,44
Galina Mozhaeva,c7Z0JcgAAAAJ,Continuing education,advanced learning technologies,e-learning,teacher training,Digital Humanities.,,,,,,,,,,,,20,33,48,32,49,56,67,91,132,135,109,140,182,229,373,297,315,311,412,387,267,8
Malvina Nissim,hnTpEOAAAAAJ,Computational Linguistics,Language Technology,Natural Language Processing,Linguistics,Digital Humanities,,,,,,,,,,,,,15,37,90,113,141,159,134,131,102,109,142,141,152,201,207,273,274,381,359,491,95
Emanuele Pianta,nDdTKQMAAAAJ,Human Language Technologies,Computational Lingustics,Language Resources,Digital Humanities,,,,,,,,,,24,23,14,37,57,99,96,121,108,157,184,196,198,287,260,291,219,270,204,167,183,161,143,104,21
