author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Santo Fortunato,NDrCCokAAAAJ,complex systems,network science,computational social science,science of science,climate change,,,,,,,,,,,,,,,,,157,307,570,1124,1670,2224,2792,3174,3313,3498,3495,3776,3867,3808,3801,3524,876
Matjaž Perc,nfY5WDMAAAAJ,Statistical Physics,Cooperation,Complex Systems,Evolutionary Game Theory,Network Science,,,,,,,,,,,,,,,,,166,229,360,751,1184,1389,1866,2197,2653,2569,3046,3943,4261,4268,4957,5167,1816
Pierre Vandergheynst,1p9NOFEAAAAJ,data science,machine learning,artificial intelligence,network science,computer vision,,,,,,,,,,,,,123,193,293,386,493,590,690,693,809,956,1256,1447,1690,2044,2430,3101,4058,4780,5355,5713,1375
Edoardo M Airoldi,XKCyZk0AAAAJ,Statistics,Causal Inference,Network Science,Statistical Machine Learning,Computational Biology,,,,,,,,,,,,,,,,,98,227,404,639,849,1092,1524,1965,2229,2785,3210,3534,3767,4175,4908,4892,1157
Pedro Jordano,TrKYqaEAAAAJ,Coevolution,Network science,Evolutionary ecology,Plant-animal interactions,Ecological networks,,,,,,,109,102,126,232,140,269,217,311,389,459,841,779,1093,963,1267,1673,1804,1866,2033,2278,2399,2811,2946,3014,3126,3346,988
Renaud Lambiotte,lftXi28AAAAJ,Network Science,Complex Networks,Statistical Physics,Complex Systems,,,,,,,,,,,,,,,,,,,158,253,446,679,1049,1562,1972,2190,2504,2665,3227,3493,4006,4602,4571,1024
Filippo Menczer,f_kGJwkAAAAJ,Misinformation,Web Science,Network Science,Computational Social Science,Social Media,,,,,,,,,,118,93,169,200,258,353,356,393,529,599,691,722,883,1060,1248,1387,1611,1923,2556,3565,4242,4629,4621,937
Aaron Clauset,e7VI_HcAAAAJ,Network Science,Science of Science,Machine Learning,Computational Biology,Computational Social Science,,,,,,,,,,,,,,,,167,264,465,723,1033,1342,1573,1868,2073,2183,2413,2447,2816,3038,3279,3481,3432,847
Alain Barrat,5MeSMfAAAAAJ,Statistical Physics,Complex systems,Network Science,Epidemiology,Social networks,,,,,,,,,,103,169,217,252,265,493,631,912,868,1023,1024,1400,1693,2002,2021,1991,2009,1972,2024,2133,2438,2601,2786,717
David Lazer,gMndACUAAAAJ,Computational social science,network science,political communication,misinformation,collective intelligence,,,,,,,,,,,,,,,99,109,162,250,365,654,907,1108,1302,1526,1845,1952,1980,2227,2857,3436,4167,4351,1015
Ali Jadbabaie,ZBc_WwYAAAAJ,systems and control,network science,network economics,optimization,dynamical systems,,,,,,,,,,,81,73,130,252,434,589,935,1059,1102,1346,1399,1672,1768,1741,1708,1755,1688,1613,1720,2019,2246,2494,628
Michael Kearns,8iQk0DIAAAAJ,Machine Learning,Algorithmic Game Theory,Network Science,Computational Social Science,Algorithmic Trading and Computational,104,149,197,305,336,297,295,364,368,311,471,483,556,554,721,718,916,845,935,926,902,997,917,983,1031,1041,1185,1338,1584,2050,2326,2458,515
Bruce J. West,rEKMzQcAAAAJ,network physiology,network science,fractional calculus,fractal physiology,,373,334,402,434,415,536,440,547,512,549,506,577,588,538,707,834,731,739,781,855,832,985,1002,1060,890,1043,972,852,887,878,1114,888,216
Sinan Aral,E2uuNVoAAAAJ,Network Science,Data Science,Computational Social Science,Digital Economy,Experiments,,,,,,,,,,,,,,,,,,104,194,329,521,709,1017,1258,1450,1544,1532,1946,2445,3012,3546,3644,815
Guido Caldarelli,RZid9X8AAAAJ,Network Theory,Network Science,Statistical Physics,Complex Systems,,,,,,,,,,78,73,82,108,141,218,290,302,493,494,531,555,609,669,799,891,1077,1457,1536,1979,2162,2508,2946,2770,670
Alessandro Flammini,aOzxhScAAAAJ,computational social science,network science,data science,,,,,,,,,,,,,,,,83,119,193,241,270,264,293,344,470,646,847,1028,1276,1700,2240,2826,3134,3185,3132,656
Juan Nunez-Iglesias,IEPhQd4AAAAJ,Image analysis,Neuroscience,Machine learning,Network science,,,,,,,,,,,,,,,,,,,,,,67,82,69,108,168,228,321,406,652,3051,6241,8125,2527
Vicki Stover Hertzberg,6U8dvSkAAAAJ,data science,biostatistics,epidemiology,network science,,105,119,139,134,136,168,163,203,222,247,296,275,349,388,449,627,711,797,806,783,934,1080,1088,1182,1221,1305,1145,1110,1170,1229,1304,1409,346
Ulrik Brandes,fmmZrwgAAAAJ,Social Networks,Network Science,Algorithmics,Graph Drawing,Information Visualization,,,,,,,,,,,70,90,165,215,280,348,460,563,675,863,971,1114,1417,1368,1425,1495,1579,1543,1566,1576,1698,1585,419
Jorge Cortes,rKO1QZoAAAAJ,Control Theory,Distributed Algorithms,Network Science,Game Theory,Robotics,,,,,,,,,,,,58,99,127,216,257,502,566,754,751,964,1092,1092,1179,1175,1293,1495,1613,1750,1932,2006,2282,440
Boleslaw Szymanski,2OJOZTUAAAAJ,community_detection,social networking,social informatics,communication networks,network science,,56,77,135,97,165,184,240,152,191,167,216,311,263,376,510,542,570,582,689,716,970,1127,1348,1388,1562,1451,1533,1417,1284,1283,1202,259
Marta C. Gonzalez,YAGjro8AAAAJ,Human Mobility,Urban Science,Network Science,Complex Systems,Computational Social Science,,,,,,,,,,,,,,,,,89,143,269,416,557,727,953,1171,1535,1667,1811,2117,2079,2275,2519,2172,470
Emilio Ferrara,0r7Syh0AAAAJ,Data Science,Machine Learning,Social Media,Computational Social Science,Network Science,,,,,,,,,,,,,,,,,,,,,,74,196,324,549,773,1132,1918,2777,3737,4177,4303,917
Noshir Contractor,Fqw9o84AAAAJ,Network Science,Computational Social Science,Web Science,Future of work.,,,,,,,55,71,87,100,152,138,159,224,248,294,302,328,416,463,644,864,1032,1206,1309,1323,1347,1394,1376,1490,1408,1617,1545,363
Neo D. Martinez,M2XGNO4AAAAJ,ecology,theoretical ecology,network science,ecological networks,food webs,,,,,,57,56,45,64,71,89,210,191,331,416,559,564,624,654,764,791,1013,1093,1273,1239,1431,1298,1388,1365,1280,1344,1235,348
Piet Van Mieghem,kJ9CX6sAAAAJ,Network Science,graph spectra,epidemics on networks,network resilience,stochastic processes,,,,,,,,,,,73,141,185,194,338,354,345,446,431,468,533,652,776,1074,1126,1377,1654,1608,1605,1767,1816,1810,415
Cameron Marlow,TTLOfXIAAAAJ,Social Networks,Network Science,Contagion,Social Influence,,,,,,,,,,,,,,,,,85,233,327,343,423,486,744,1119,1447,1686,1780,1818,1739,1710,1620,1561,1395,244
"Jukka-Pekka ""JP"" Onnela",eyYubf4AAAAJ,network science,digital phenotyping,data science,digital health,wearables,,,,,,,,,,,,,,,75,80,203,216,328,461,657,886,1037,1142,1121,1228,1322,1603,1739,1784,2196,2309,532
Florian Dörfler,P2kxZ3MAAAAJ,control theory,systems theory,optimization,network science,power networks,,,,,,,,,,,,,,,,,,,,,78,146,281,481,826,1143,1425,1901,2222,2927,3162,3516,827
Alexei Vazquez,PnxM2SQAAAAJ,Complexity,Network Science,Systems Biology,,,,,,,,,,,,,,64,207,301,409,504,636,642,803,973,1019,1196,1198,1105,1139,1172,1178,1149,1122,1270,1260,1188,296
Manlio De Domenico,KhJ4UFIAAAAJ,Complex Systems,Network Science,Statistical Physics,Biological Physics,Computational Social Science,,,,,,,,,,,,,,,,,,,100,248,675,766,946,838,1396,1609,1938,1644,1918,1648,2214,2322,581
Roger Guimera,aDQtHNsAAAAJ,Network science,Statistical physics,Systems biology,Computational social science,Bayesian statistics,,,,,,,,,,,,,51,100,235,422,626,677,882,860,986,1015,1164,1156,1219,1314,1161,1256,1234,1222,1333,1315,325
Petter Holme,v9f2xUAAAAAJ,computational social science,network science,complex systems,temporal networks,,,,,,,,,,,,,,81,138,204,324,417,444,535,562,635,795,1022,1073,1237,1329,1349,1467,1537,1466,1606,1677,436
Madhav  Marathe,diIore8AAAAJ,Network Science,Computational Epidemiology,Multi-agent systems,Scalable computing,AI,,,,,,,77,91,74,97,110,154,201,305,507,562,662,580,747,706,791,826,975,1021,1168,1088,998,929,1001,1273,1442,1300,334
Maurizio Porfiri,1KQ1VqsAAAAJ,Collective Behavior,Complex Systems,Network Science,Theoretical Mechanics,Urban Science,,,,,,,,,,,,,,,,,67,179,276,375,498,732,936,1140,1533,1353,1572,1798,1586,1616,1724,1784,466
Tamás Nepusz,wdyXgdEAAAAJ,Network science,data mining,random graphs,artificial intelligence,,,,,,,,,,,,,,,,,,,52,95,174,250,360,665,839,1026,1296,1484,1666,1818,2048,2522,2261,618
Johan Bollen,jDmcdsUAAAAJ,network science,complex systems,computational social science,cognitive science,bibliometrics,,,,,,,,,,,46,54,63,78,108,144,222,215,265,398,511,744,1030,1266,1530,1376,1454,1451,1451,1246,1392,1334,300
Prof Shui Yu,_WbktxMAAAAJ,Network Science,Security and Privacy,Big Data,Mathematical Modelling,,,,,,,,,,,,,,,,,,,,,,61,126,251,451,581,755,1049,1534,1895,2455,2921,3804,1001
Virgilio Almeida,sPKpIPwAAAAJ,Social algorithms,cyberspace and digital governance,distributed systems,network science,performance modeling,,,,,,,67,75,135,186,274,334,330,407,394,455,492,501,601,653,722,932,996,1118,1044,1044,979,925,872,904,848,910,191
Jonathan Burdette,YQttMSMAAAAJ,Brain imaging,network science,MRI,,,,,,,,,,,,,68,76,121,178,211,274,382,479,633,692,753,980,1029,1104,1189,1219,1104,1231,1068,1118,1083,1083,272
Xiang Li,q50JcT0AAAAJ,Complex dynamical networks,network science,multi-agent systems and control,,,,,,,,,,,,,,,,50,75,154,235,401,577,547,558,622,828,873,984,1029,1024,1176,1577,1658,1669,1755,489
Daniel Gauthier,tXYIYJsAAAAJ,quantum information science,nonlinear optics,network science,time-delay dyamical systems,reservoir computing,65,86,86,92,116,123,139,187,180,165,186,182,217,304,325,496,714,903,794,752,738,745,805,785,756,822,772,815,778,724,810,880,231
Jorge M. Pacheco,3YDAC58AAAAJ,complex systems,network science,computational biology,evolution of cooperation,somatic evolution of cancer,,72,57,49,47,79,59,64,62,39,66,60,69,52,67,167,389,536,758,729,953,1100,994,1098,939,920,953,939,911,1007,1119,985,312
Kwang-cheng Chen,p0DAPSYAAAAJ,Wireless Networks,Multi-Agent Systems,Quantum Communications,Cybersecurity,Network Science,,,,,,65,73,156,104,126,124,106,154,126,114,111,152,170,220,385,416,631,889,981,1060,1087,1101,1254,1310,1429,1443,1372,284
Constantine Dovrolis,sfuwsSwAAAAJ,Neuro-inspired Machine Learning,Network Science,Computational Science,,,,,,,,,,,,71,155,262,485,575,755,827,764,821,841,867,856,859,911,896,914,887,762,713,548,517,402,388,69
Katy Borner,YirSp_cAAAAJ,Network Science,Information Visualization,Scientometrics,Science Studies,Cyberinfrastructure,,,,,,,,,,,41,53,65,144,175,292,345,389,503,486,568,670,818,897,860,887,932,1051,1185,1134,1472,1552,343
Ram Ramanathan,PXwxBfcAAAAJ,Computer networks,Mobile wireless neworks,Algorithms,Network Science,,,,,,,,,51,78,106,154,305,480,689,906,903,884,924,920,923,835,764,825,693,708,549,554,490,537,437,447,381,66
Francesco Bonchi,R1Jt75cAAAAJ,AI,Data Science,Algorithms,Network Science,Data Mining,,,,,,,,,,,,,,39,89,88,131,126,215,337,510,665,843,1038,1120,1269,1245,1219,1225,1275,1236,1329,321
Rami Al-Rfou,D89tn7sAAAAJ,NLP,Machine Learning,Network Science,,,,,,,,,,,,,,,,,,,,,,,,,,,131,342,789,1293,1975,2369,2916,3723,858
Marian Boguña,oplbtjgAAAAJ,Complex networks,complex systems,statistical physics,networks,network science,,,,,,,,,,,,,59,96,174,258,323,389,420,458,569,642,774,924,932,1101,1078,1102,1058,1161,1246,1243,287
Chaoming Song,YqpNyFUAAAAJ,Statistical Physics,Complex Systems,Soft Matter,Network Science,Biophysics,,,,,,,,,,,,,,,39,68,146,218,207,389,509,679,791,996,1147,1206,1227,1318,1324,1217,1272,1171,271
Yong-Yeol Ahn,US7OSNgAAAAJ,Network science,Complex Systems,Computational Social Science,Science of Science,Computational Neuroscience,,,,,,,,,,,,,,,,,,143,260,353,537,790,846,1033,1123,1218,1207,1175,1137,1182,1326,1355,317
Michele Benzi,nckZ4QoAAAAJ,Numerical Linear Algebra,Scientific Computing,Network Science,,,,,,,,,,53,92,143,105,135,155,215,236,311,382,424,460,502,552,614,685,828,886,1009,978,1073,993,915,969,952,278
Ciro Cattuto,qOv3StkAAAAJ,data science,computational social science,network science,digital epidemiology,,,,,,,,,,,,,,,50,44,48,123,185,245,426,524,670,813,808,837,905,828,913,1019,1458,1748,1614,342
Mathieu Jacomy,m5CschQAAAAJ,science and technology studies,network science,data visualisation,graph theory,complexity,,,,,,,,,,,,,,,,,,,,,94,192,378,590,800,929,1117,1435,1420,1753,2148,2220,578
Adilson E. Motter,F5TciCcAAAAJ,Network Science,Complex Systems,Nonlinear Dynamics,,,,,,,,,,,,,,,84,95,205,375,487,643,637,571,646,681,835,747,829,936,949,963,902,924,936,981,285
Paulo R Guimarães Jr,KywW7cQAAAAJ,Ecological interactions,Ecological Networks,Coevolution,Network Science,Mutualisms,,,,,,,,,,,,,,,,,116,121,258,271,367,518,677,831,973,989,1016,1272,1303,1460,1548,1576,382
Walter Quattrociocchi,_OCIc6UAAAAJ,Data Science,Network Science,Complex Systems,Collective Dynamics,Dynamical Processes on Complex Networks,,,,,,,,,,,,,,,,,,,,,108,76,101,144,244,422,652,859,1202,2073,3153,3336,731
Tobias Kuhn,26_NNqEAAAAJ,Semantic Web,Network Science,Controlled Natural Language,Semantic Publishing,Science of Science,,,,,,,,,,,,,,,,,,54,84,105,92,129,139,193,170,287,587,903,1497,1911,2615,3385,828
Matthias Grossglauser,0PNdFHcAAAAJ,network science,machine learning,data analytics,,,,,,,,44,119,155,159,165,197,274,358,480,605,592,647,643,759,739,669,660,666,657,584,593,508,511,492,445,403,385,77
Anthony Paik,4XB29NcAAAAJ,Network science,Social demography,Organizations and markets,,,,,,,,,,,,95,135,207,204,311,452,600,536,554,603,604,601,595,705,691,699,765,693,705,701,610,598,518,131
Massimo Franceschetti,2E448xEAAAAJ,Information Theory,Control Theory,Wave Propagation,Network Science,Random Graphs,,,,,,,,,,,,,,65,165,256,350,475,575,585,699,793,808,912,914,817,883,806,812,703,702,708,128
Ching-Yung Lin,kc6wqugAAAAJ,Network Science,Big Data Analytics,Social Analytics,Cognitive Analytics,Graph Computing,,,,,,,,,,48,101,167,347,457,560,572,579,601,617,558,536,618,620,620,600,579,597,515,565,690,654,605,133
Gergely Palla,xCDcu_cAAAAJ,network science,complex networks,statistical physics,statistical mechanics,,,,,,,,,,,,,,,,70,152,291,405,592,620,794,915,956,1018,959,899,848,832,633,617,660,556,142
Aric Hagberg,ug4QQn8AAAAJ,Complex Systems,Network Science,Nonlinear Dynamics,Pattern Formation,Data Science,,,,,35,71,58,75,50,76,79,87,87,96,78,106,114,125,181,248,248,329,479,569,614,631,768,836,1001,1287,1527,1640,415
Francisco C. Santos,Kp5fFpYAAAAJ,Complex Systems,Network Science,Game Theory,Multiagent Systems,Evolutionary Dynamics,,,,,,,,,,,,,,,,83,223,290,428,459,639,775,743,794,767,726,706,753,739,892,993,933,311
Humbert G. Díaz,5lKu31YAAAAJ,Cheminformatics,Drug Discovery,Network Science,Data Analysis,Computational Nanotechnology,,,,,,,,,,,,,33,120,395,242,383,621,757,739,870,1213,858,563,769,437,638,443,520,604,611,413,89
Joshua T. Vogelstein,DWPfdT4AAAAJ,biomedical data science,connectomics,network science,natural intelligence,machine learning,,,,,,,,,,,,,,,,,,,44,73,110,170,262,345,503,593,736,1027,1365,1525,1800,1900,467
Daniel Suthers,8rEj1jIAAAAJ,CSCL,technology enhanced learning,learning analytics,social informatics,network science,,,,,,28,37,47,63,92,134,183,300,218,346,361,479,432,615,630,689,609,780,670,680,593,574,499,448,425,472,362,52
Kenji Ito,vaDPwPAAAAAJ,Network Science,,,,,89,91,109,127,126,168,192,204,167,235,250,251,276,306,364,382,363,339,360,374,388,380,471,430,490,487,434,426,440,464,442,370,85
B Kahng,N-ITb_AAAAAJ,Statistical Physics,Complex Network,Network Science,Complex Systems,,,,,,,,,31,29,30,67,104,162,241,367,482,528,498,556,529,633,653,666,730,628,572,532,544,497,468,532,454,140
Rodolfo Baggio,KBeq0gIAAAAJ,Tourism,eTourism,e-Tourism,Complex networks,Network science,,,,,,,,,,,,,,,,,30,59,92,133,251,280,396,547,624,819,708,910,917,1203,1532,1858,352
Tomaso Aste,27pUbTUAAAAJ,Complex Systems,Information Filtering,Network Science,Econophysics,Data-driven Modeling,,,,,,,,38,43,33,29,42,55,72,139,154,233,308,266,329,333,438,438,553,541,729,569,745,881,927,1127,1164,373
Linyuan Lu,5W03i0YAAAAJ,network science,random graphs,spectral graph/hypergraph theory,probabilistic methods,extremal combinatorics,,,,,,,,,,,40,121,172,231,358,426,436,488,427,388,442,559,494,599,535,546,548,601,571,581,580,584,135
Tobias Friedrich,vxfzU6IAAAAJ,Algorithm Engineering,Randomness,Artificial Intelligence,Data Science,Network Science,,,,,,,,,,,,,,,,37,57,99,181,263,290,350,492,571,645,728,767,837,916,952,1088,1131,305
Sudha Ram,cxxGur8AAAAJ,Machine Learning,Network Science,Enterprise data management,Data Provenance,and Semantic Inte,51,52,54,79,84,57,71,76,66,72,107,102,91,155,154,249,276,274,312,316,315,386,375,424,434,555,517,564,704,678,892,918,221
My T. Thai,zLLJimcAAAAJ,Explainable AI,Security and Privacy,Network Science,Optimization,,,,,,,,,,,,,,,,,49,132,176,257,317,333,447,654,567,617,703,714,721,860,916,949,961,233
Rajan Lukose,8PX-1X8AAAAJ,Quantitative Finance,Statistical Physics,Network Science,Machine Learning,,,,,,,,,51,73,104,105,182,315,374,492,481,492,429,443,519,430,460,427,459,393,460,411,443,441,419,386,357,81
Eric Kolaczyk,01ks8yYAAAAJ,Statistics,network science,signal/image processing,,,,,,,,,36,46,100,98,116,88,100,154,185,220,260,226,276,316,286,316,490,493,548,619,642,663,607,639,709,679,137
Cheng-Shang Chang,ia9Tr3cAAAAJ,Network Science,Performance Evaluation,Networking,Wireless Networks,,,29,59,139,198,221,211,256,229,206,212,243,292,337,371,430,456,377,435,381,367,357,310,267,278,306,260,343,246,325,405,416,61
"Kathleen M. Jagodnik, Ph.D.",kmhfiUgAAAAJ,Computational Biology,Bioinformatics,Network Science,Information Science,,,,,,,,,,,,,,,,,,,,,,,,,,,40,267,621,1071,1607,2122,2621,744
Tina Eliassi-Rad,TXb5Ym8AAAAJ,Data Mining,Machine Learning,Network Science,AI Ethics,,,,,,,,,,,,23,22,31,25,28,18,40,58,105,146,202,260,294,326,408,491,571,735,845,1078,1340,1524,361
Onur Varol,t8YAefAAAAAJ,Computational Social Science,Machine Learning,Complex Systems,Network Science,Science of Science,,,,,,,,,,,,,,,,,,,,,,,,26,80,184,425,839,1343,1754,1832,1884,406
James P Gleeson,JibNrYkAAAAJ,Complex networks,network science,mathematical modelling,social contagion,applied mathematics,,,,,,,,,,,,,,24,52,47,55,70,83,112,197,208,271,398,580,765,830,941,1007,885,958,957,260
Dmitri Krioukov,NuPqqNAAAAAJ,network science,complex networks,random graphs,,,,,,,,,,,,,,,,,26,88,142,197,323,346,399,380,413,462,477,628,594,740,713,819,837,846,195
Francisco A. Rodrigues,mMl8aggAAAAJ,network_science,statistical_physics,Complex_networks,complex_systems,Physics,,,,,,,,,,,,,,,,,76,162,210,222,292,329,395,409,418,557,565,734,727,908,1088,1152,273
Alex `Sandy' Pentland,P4nfoKYAAAAJ,Social Physics,Honest Signals,Computational Social Science,Network and Complexity Science,Wearable Computing,,568,649,948,1092,1534,1877,2318,2496,2738,3051,3398,3641,4025,4684,4665,4803,4821,5252,5355,5611,6207,6515,6868,6799,6957,6686,6530,6752,7063,7135,6372,1416
Bruce Kogut,EhZrLdAAAAAJ,Comparative Governance,Computational Social Science,Organizations,,,,,268,329,414,608,759,953,1088,1507,1702,2064,2546,2814,3150,3533,3956,4249,4471,4611,4635,4832,5042,4595,4462,4318,3862,3779,3503,3086,2970,2727,597
Dirk Helbing,ebrNfPAAAAAJ,computational social science,complex systems,digital democracy,statistical physics,intelligent transportation systems,,,,,,,,,210,335,406,603,786,835,928,1190,1483,1713,2244,2597,2868,3798,4363,4931,4890,5026,4981,5375,5661,5708,6246,6192,1388
Dan Jurafsky,uZg9l58AAAAJ,Natural Language Processing,Speech Recognition,Computational Linguistics,Linguistics,Computational Social Science,,,,,,,,,,,299,400,625,839,922,1171,1248,1489,1687,2181,2311,2677,2755,3058,3221,3714,4060,5229,5674,5918,6798,7244,1481
Nello Cristianini,iPJvBGYAAAAJ,Artificial Intelligence,Machine Learning,Philosophy of Artificial Intelligence,Computational Social Science,,,,,,,,,,,253,521,921,1447,1795,2547,3024,3372,3546,3944,3709,3559,3754,3595,3663,3459,3352,3069,3086,2951,2799,2659,2545,537
Jiebo Luo,CcbnBvgAAAAJ,AI,multimedia,computational social science,computational medicine,big data analytics,,,,,,,,,,,,,140,208,295,413,407,592,745,1054,1351,1593,1806,1849,2071,2164,2566,2771,3669,4649,6245,7167,1864
Lillian Lee,oJESe-cAAAAJ,all pubs hand-verified to be actually mine,natural language processing,computational linguistics,computational social science,,,,,,,,,,,,135,192,188,307,459,554,681,894,1135,1597,1786,2221,2590,2969,3287,3603,3428,3608,3463,3069,2871,2436,492
Noah A. Smith,TjdFs3EAAAAJ,natural language processing,machine learning,computational social science,,,,,,,,,,,,,,,,,111,138,153,187,249,495,776,1058,1446,1712,2218,2905,2878,3202,3556,4650,5889,6882,1341
Lyle Ungar,KCiDjbkAAAAJ,machine learning,computational linguistics,computational social science,,,,117,103,125,157,178,149,178,212,265,381,547,617,686,730,876,915,899,1033,1152,1315,1353,1460,1712,1871,2026,2339,2602,2822,3384,3723,3886,1049
Rada Mihalcea,UetM7FgAAAAJ,Natural Language Processing,Computational Social Science,Multimodal Interaction,,,,,,,,,,,,,126,184,257,300,306,558,591,762,905,1198,1224,1477,1779,1886,1930,2263,2227,2618,2863,3217,3754,4127,865
Kosuke Imai,0QY34cMAAAAJ,applied statistics,causal inference,computational social science,quantitative social science,political methodology,,,,,,,,,,,,,,,,91,171,312,441,565,702,871,1071,1406,1762,1860,2364,3034,3404,4076,4997,5533,1533
Jens Hainmueller,S-8-QyIAAAAJ,Statistics,Causal Inference,Computational Social Science,Survey Methods,Immigration,,,,,,,,,,,,,,,,,,,140,181,261,374,607,787,1238,1454,2022,2659,3090,4019,4855,5805,1519
Dhavan Shah,9_GqLnwAAAAJ,Political Communication,Health Communication,Online Communities,Political Behavior,Computational Social Science,,,,,,,,,66,68,131,149,178,297,368,439,504,698,871,831,966,1040,1211,1392,1464,1493,1720,1695,1766,1780,2009,2006,367
Janos Kertesz,KVaEpnkAAAAJ,complex networks,econophysics,computational social science,,,185,168,165,155,176,167,118,182,135,152,152,177,175,252,297,349,477,526,622,727,897,1131,1351,1436,1508,1639,1489,1504,1493,1388,1647,1577,388
Kimmo Kaski,Cpay6fYAAAAJ,Computational Science,Statistical Physics,Complex Systems & Networks,Computational Social Science,Data Science & AI,97,104,100,133,111,119,142,130,115,167,144,128,148,251,329,325,562,567,749,890,994,1220,1448,1439,1411,1492,1466,1457,1446,1398,1579,1457,400
Michael Macy,7OW6weoAAAAJ,computational social science,social networks,political polarization,social influence,,,,,,,68,71,74,95,109,132,161,183,225,280,268,341,367,444,559,738,938,1076,1270,1447,1416,1470,1565,1712,2058,2122,1991,488
Timothy Baldwin,wjBD1dkAAAAJ,computational linguistics,natural language processing,artificial intelligence,computational social science,,,,,,,,,,,,,,70,92,141,201,220,235,269,404,405,600,827,1133,1127,1548,1759,1980,2096,2229,2259,2322,418
Meeyoung Cha,iFlnVCoAAAAJ,Applied Data Mining,Online Social Networks,Misinformation,Computational Social Science,Human Computing,,,,,,,,,,,,,,,,,,103,255,470,768,1161,1347,1640,1649,1728,1604,1615,1553,1522,1643,1673,334
Antonio Scala,ycmKlR8AAAAJ,Statistical Mechanics,Complex Networks,Critical Infrastructures,Computational Social Science,Network Physiology,,,,,,,,,,71,161,358,324,311,375,388,388,375,412,346,351,360,411,466,487,692,907,1123,1363,2158,3131,2963,601
Yong Li,kmgzPeQAAAAJ,Human Mobility,Urban Science,Computational Social Science,,,,,,,,,,,,,,,,,,,,,,,,129,211,276,586,1136,1459,1944,2500,2623,2829,3465,943
Haewoon Kwak,dcjrz5MAAAAJ,computational social science,complex systems,computational journalism,social computing,game analytics,,,,,,,,,,,,,,,,,,121,240,440,810,1208,1368,1572,1610,1645,1545,1500,1388,1463,1431,1159,212
Adam Joinson,zXZxIHEAAAAJ,privacy,social media,cyber security,computational social science,cyberpsychology,,,,,,,,,,,,82,113,137,168,200,366,407,502,603,842,947,1126,1146,1218,1310,1266,1319,1347,1439,1374,1473,267
Jesus Gomez-Gardeñes,M9cpyEIAAAAJ,Statistical Physics,Network Theory,Computational Social Science,Synchronization,Infectious Disease Modeling,,,,,,,,,,,,,,,,85,123,188,341,348,472,612,796,1014,1236,1383,1379,1460,1391,1577,1715,1598,464
Hanna Wallach,OcPVegoAAAAJ,Fairness,Interpretability,Computational Social Science,Machine Learning,Natural Language Processing,,,,,,,,,,,,,,,,41,62,81,139,222,279,366,416,525,580,697,749,876,1314,1945,2941,3826,895
Ulf-Dietrich Reips,3DJ1MJMAAAAJ,Research Methods,Computational Social Science,Internet Research,Internet Science,Experimental Psychology,,,,,,,,,,64,116,136,168,262,306,284,417,477,478,617,664,683,776,946,1047,1108,1099,1045,1121,1123,1221,1110,287
Munmun De Choudhury,Z9Pfp6UAAAAJ,Computational Social Science,Social Computing,Mental Health,Language,,,,,,,,,,,,,,,,,,,,,71,132,225,335,428,600,797,1110,1256,1758,2077,2526,2736,698
Owen Rambow,AWNL69MAAAAJ,Natural Language Processing,Computational Linguistics,Computational Social Science,,,,,,55,48,59,81,107,105,134,158,187,167,250,237,282,328,296,322,471,422,570,673,968,912,1106,1021,1161,1135,1127,998,906,133
Iyad Rahwan,yKCX2IUAAAAJ,Computational Social Science,Artificial Intelligence,Machine Behavior,Cooperation,Psychology of Technology,,,,,,,,,,,,,,50,119,150,215,248,295,392,385,388,490,467,370,534,629,893,1417,1762,2289,2278,540
Peter Hedström,0GSbsgsAAAAJ,Analytical sociology,computational social science,social networks,segregation processes,philosophy of social science,,,,,,,,43,71,77,141,149,181,219,250,330,374,444,475,591,677,722,795,922,923,968,892,835,948,815,903,705,193
Swapnil Mishra,RqbpaXcAAAAJ,Bayesian Inference,Point Processes,Infectious Diseases Epidemiology,Computational Social Science,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,35,42,84,2328,5559,4925,807
David Jensen,cjkgjggAAAAJ,Machine Learning,Causation,Causal Discovery,Statistical Relational Learning,Computational Social Science,,,,,,,,34,65,89,82,120,195,162,312,358,510,528,668,830,844,941,823,999,856,887,717,678,681,634,636,601,133
Jacob Eisenstein,Wb_lnjAAAAAJ,Computational linguistics,natural language processing,computational social science,computational sociolinguistics,,,,,,,,,,,,46,77,122,156,140,159,172,167,159,179,256,330,501,577,720,925,993,1064,1107,1278,1518,1780,349
Dylan Walker,Zxl8XVMAAAAJ,Computational Social Science,Complex Networks,Social Networks,Social Influence,Word of Mouth,,,,,,,,,,,,,,,,,130,396,723,689,1019,919,994,1141,933,1091,974,904,780,671,631,643,140
Ingmar Weber,3YDUbP0AAAAJ,Computational Social Science,Digital Demography,Data for Development,Societal Computing,Web Science,,,,,,,,,,,,,,,,,39,57,118,154,172,211,274,401,499,656,819,1097,1470,1817,2045,2142,375
